District,Date,LPC,CPC,NDP,GPC
Cardigan,2024-05-01,38%,43%,10%,5%
Cardigan,2024-07-01,38%,47%,9%,5%
Cardigan,2024-09-01,37%,48%,8%,5%
Cardigan,2024-11-01,38%,47%,9%,5%
Cardigan,2025-01-01,38%,47%,9%,5%
Cardigan,2025-03-01,38%,46%,9%,5%
Cardigan,2025-05-01,39%,45%,9%,5%
Cardigan,2025-07-01,40%,43%,10%,5%
Cardigan,2025-09-01,39%,43%,10%,5%
Cardigan,2025-11-01,41%,41%,10%,5%
Cardigan,2024-05-12,42%,40%,10%,5%
Cardigan,2024-05-12,43%,39%,10%,5%
Cardigan,2024-05-19,43%,38%,10%,5%
Cardigan,2024-05-19,42%,40%,10%,5%
Cardigan,2024-05-26,41%,41%,10%,5%
Cardigan,2024-05-26,40%,42%,10%,5%
Cardigan,2024-06-02,39%,43%,10%,5%
Cardigan,2024-06-02,39%,44%,9%,5%
Cardigan,2024-06-09,38%,44%,9%,5%
Cardigan,2024-06-09,37%,45%,9%,5%
Cardigan,2024-06-16,37%,46%,9%,5%
Cardigan,2024-06-16,37%,46%,9%,5%
Cardigan,2024-06-23,37%,45%,9%,5%
Cardigan,2024-06-23,37%,45%,10%,5%
Cardigan,2024-06-30,37%,45%,10%,6%
Cardigan,2024-06-30,37%,44%,10%,6%
Cardigan,2024-07-07,37%,44%,10%,6%
Cardigan,2024-07-07,38%,43%,10%,5%
Charlottetown,2024-05-01,35%,43%,11%,10%
Charlottetown,2024-07-01,34%,46%,9%,9%
Charlottetown,2024-09-01,34%,47%,9%,9%
Charlottetown,2024-11-01,34%,46%,9%,9%
Charlottetown,2025-01-01,34%,46%,10%,9%
Charlottetown,2025-03-01,35%,45%,10%,9%
Charlottetown,2025-05-01,36%,44%,10%,9%
Charlottetown,2025-07-01,36%,43%,11%,9%
Charlottetown,2025-09-01,35%,43%,11%,9%
Charlottetown,2025-11-01,37%,41%,11%,9%
Charlottetown,2024-05-12,38%,40%,11%,9%
Charlottetown,2024-05-12,39%,39%,11%,9%
Charlottetown,2024-05-19,39%,39%,11%,9%
Charlottetown,2024-05-19,38%,40%,11%,9%
Charlottetown,2024-05-26,37%,41%,11%,9%
Charlottetown,2024-05-26,37%,42%,11%,9%
Charlottetown,2024-06-02,36%,43%,10%,9%
Charlottetown,2024-06-02,35%,44%,10%,9%
Charlottetown,2024-06-09,35%,44%,10%,10%
Charlottetown,2024-06-09,34%,45%,9%,10%
Charlottetown,2024-06-16,34%,45%,9%,10%
Charlottetown,2024-06-16,33%,45%,10%,10%
Charlottetown,2024-06-23,34%,45%,10%,10%
Charlottetown,2024-06-23,33%,45%,10%,10%
Charlottetown,2024-06-30,33%,44%,10%,10%
Charlottetown,2024-06-30,33%,44%,10%,10%
Charlottetown,2024-07-07,33%,44%,11%,11%
Charlottetown,2024-07-07,35%,43%,11%,10%
Egmont,2024-05-01,35%,43%,9%,10%
Egmont,2024-07-01,34%,47%,8%,9%
Egmont,2024-09-01,34%,48%,7%,9%
Egmont,2024-11-01,35%,47%,8%,9%
Egmont,2025-01-01,34%,47%,8%,9%
Egmont,2025-03-01,35%,46%,8%,9%
Egmont,2025-05-01,36%,45%,8%,9%
Egmont,2025-07-01,36%,44%,9%,9%
Egmont,2025-09-01,36%,43%,9%,9%
Egmont,2025-11-01,37%,41%,9%,9%
Egmont,2024-05-12,39%,40%,9%,9%
Egmont,2024-05-12,40%,39%,9%,9%
Egmont,2024-05-19,40%,39%,9%,9%
Egmont,2024-05-19,38%,41%,9%,9%
Egmont,2024-05-26,37%,41%,9%,9%
Egmont,2024-05-26,37%,42%,9%,9%
Egmont,2024-06-02,36%,43%,9%,9%
Egmont,2024-06-02,35%,44%,8%,9%
Egmont,2024-06-09,35%,44%,8%,10%
Egmont,2024-06-09,34%,45%,8%,10%
Egmont,2024-06-16,34%,46%,8%,10%
Egmont,2024-06-16,33%,46%,8%,10%
Egmont,2024-06-23,34%,45%,8%,10%
Egmont,2024-06-23,33%,45%,8%,10%
Egmont,2024-06-30,33%,45%,9%,10%
Egmont,2024-06-30,33%,44%,9%,10%
Egmont,2024-07-07,34%,44%,9%,11%
Egmont,2024-07-07,35%,43%,9%,10%
Dartmouth Cole Harbour,2024-05-01,38%,26%,28%,4%
Dartmouth Cole Harbour,2024-07-01,37%,28%,28%,4%
Dartmouth Cole Harbour,2024-09-01,37%,28%,27%,4%
Dartmouth Cole Harbour,2024-11-01,37%,27%,28%,3%
Dartmouth Cole Harbour,2025-01-01,37%,27%,28%,3%
Dartmouth Cole Harbour,2025-03-01,37%,27%,29%,3%
Dartmouth Cole Harbour,2025-05-01,38%,26%,29%,3%
Dartmouth Cole Harbour,2025-07-01,38%,25%,30%,3%
Dartmouth Cole Harbour,2025-09-01,37%,24%,30%,3%
Dartmouth Cole Harbour,2025-11-01,39%,23%,30%,3%
Dartmouth Cole Harbour,2024-05-12,40%,22%,30%,3%
Dartmouth Cole Harbour,2024-05-12,40%,22%,29%,3%
Dartmouth Cole Harbour,2024-05-19,40%,22%,29%,3%
Dartmouth Cole Harbour,2024-05-19,39%,23%,29%,3%
Dartmouth Cole Harbour,2024-05-26,39%,23%,29%,3%
Dartmouth Cole Harbour,2024-05-26,38%,24%,29%,3%
Dartmouth Cole Harbour,2024-06-02,38%,25%,28%,3%
Dartmouth Cole Harbour,2024-06-02,38%,26%,27%,3%
Dartmouth Cole Harbour,2024-06-09,38%,26%,27%,4%
Dartmouth Cole Harbour,2024-06-09,38%,27%,26%,4%
Dartmouth Cole Harbour,2024-06-16,38%,27%,26%,4%
Dartmouth Cole Harbour,2024-06-16,37%,27%,27%,4%
Dartmouth Cole Harbour,2024-06-23,37%,27%,27%,4%
Dartmouth Cole Harbour,2024-06-23,37%,27%,27%,4%
Dartmouth Cole Harbour,2024-06-30,37%,27%,28%,4%
Dartmouth Cole Harbour,2024-06-30,36%,26%,28%,4%
Dartmouth Cole Harbour,2024-07-07,37%,26%,28%,4%
Dartmouth Cole Harbour,2024-07-07,38%,26%,28%,4%
Halifax West,2024-05-01,38%,32%,25%,3%
Halifax West,2024-07-01,37%,34%,25%,3%
Halifax West,2024-09-01,37%,35%,24%,3%
Halifax West,2024-11-01,37%,34%,25%,3%
Halifax West,2025-01-01,37%,34%,25%,3%
Halifax West,2025-03-01,38%,33%,26%,3%
Halifax West,2025-05-01,38%,32%,26%,3%
Halifax West,2025-07-01,38%,31%,27%,3%
Halifax West,2025-09-01,37%,30%,27%,3%
Halifax West,2025-11-01,39%,29%,27%,3%
Halifax West,2024-05-12,40%,28%,27%,3%
Halifax West,2024-05-12,41%,27%,27%,3%
Halifax West,2024-05-19,41%,27%,27%,3%
Halifax West,2024-05-19,40%,28%,27%,3%
Halifax West,2024-05-26,39%,29%,27%,3%
Halifax West,2024-05-26,39%,30%,26%,3%
Halifax West,2024-06-02,38%,31%,26%,3%
Halifax West,2024-06-02,38%,32%,24%,3%
Halifax West,2024-06-09,38%,32%,24%,3%
Halifax West,2024-06-09,38%,33%,23%,3%
Halifax West,2024-06-16,38%,34%,23%,3%
Halifax West,2024-06-16,37%,34%,24%,3%
Halifax West,2024-06-23,37%,33%,24%,3%
Halifax West,2024-06-23,37%,33%,25%,3%
Halifax West,2024-06-30,37%,33%,25%,3%
Halifax West,2024-06-30,37%,33%,25%,3%
Halifax West,2024-07-07,37%,32%,26%,3%
Halifax West,2024-07-07,38%,32%,25%,3%
Acadie Bathurst,2024-05-01,51%,26%,14%,4%
Acadie Bathurst,2024-07-01,56%,25%,12%,4%
Acadie Bathurst,2024-09-01,55%,26%,12%,4%
Acadie Bathurst,2024-11-01,56%,25%,12%,3%
Acadie Bathurst,2025-01-01,55%,25%,12%,3%
Acadie Bathurst,2025-03-01,56%,24%,12%,3%
Acadie Bathurst,2025-05-01,56%,24%,13%,3%
Acadie Bathurst,2025-07-01,56%,23%,14%,3%
Acadie Bathurst,2025-09-01,55%,22%,14%,3%
Acadie Bathurst,2025-11-01,57%,21%,14%,3%
Acadie Bathurst,2024-05-12,58%,20%,13%,3%
Acadie Bathurst,2024-05-12,59%,20%,13%,3%
Acadie Bathurst,2024-05-19,59%,20%,13%,3%
Acadie Bathurst,2024-05-19,58%,21%,13%,3%
Acadie Bathurst,2024-05-26,57%,21%,13%,3%
Acadie Bathurst,2024-05-26,56%,22%,13%,3%
Acadie Bathurst,2024-06-02,55%,23%,13%,3%
Acadie Bathurst,2024-06-02,55%,23%,12%,3%
Acadie Bathurst,2024-06-09,55%,24%,12%,4%
Acadie Bathurst,2024-06-09,55%,24%,12%,4%
Acadie Bathurst,2024-06-16,55%,25%,12%,4%
Acadie Bathurst,2024-06-16,50%,27%,13%,4%
Acadie Bathurst,2024-06-23,50%,27%,14%,4%
Acadie Bathurst,2024-06-23,50%,27%,14%,4%
Acadie Bathurst,2024-06-30,50%,27%,14%,4%
Acadie Bathurst,2024-06-30,50%,26%,14%,4%
Acadie Bathurst,2024-07-07,50%,26%,15%,4%
Acadie Bathurst,2024-07-07,51%,26%,14%,4%
Beauséjour,2024-05-01,46%,30%,12%,7%
Beauséjour,2024-07-01,46%,32%,11%,6%
Beauséjour,2024-09-01,45%,33%,11%,6%
Beauséjour,2024-11-01,46%,32%,11%,6%
Beauséjour,2025-01-01,46%,32%,12%,6%
Beauséjour,2025-03-01,47%,32%,12%,6%
Beauséjour,2025-05-01,47%,31%,12%,6%
Beauséjour,2025-07-01,48%,29%,13%,6%
Beauséjour,2025-09-01,47%,29%,13%,6%
Beauséjour,2025-11-01,49%,28%,13%,6%
Beauséjour,2024-05-12,50%,27%,13%,6%
Beauséjour,2024-05-12,51%,26%,12%,6%
Beauséjour,2024-05-19,51%,26%,13%,6%
Beauséjour,2024-05-19,49%,27%,12%,6%
Beauséjour,2024-05-26,49%,28%,12%,6%
Beauséjour,2024-05-26,48%,28%,12%,6%
Beauséjour,2024-06-02,47%,29%,12%,6%
Beauséjour,2024-06-02,47%,30%,11%,6%
Beauséjour,2024-06-09,46%,30%,11%,6%
Beauséjour,2024-06-09,46%,31%,11%,7%
Beauséjour,2024-06-16,46%,32%,11%,7%
Beauséjour,2024-06-16,45%,32%,11%,7%
Beauséjour,2024-06-23,45%,31%,12%,7%
Beauséjour,2024-06-23,45%,31%,12%,7%
Beauséjour,2024-06-30,45%,31%,12%,7%
Beauséjour,2024-06-30,45%,31%,12%,7%
Beauséjour,2024-07-07,45%,30%,12%,7%
Beauséjour,2024-07-07,46%,30%,12%,7%
Fredericton Oromocto,2024-05-01,28%,44%,13%,13%
Fredericton Oromocto,2024-07-01,27%,47%,11%,12%
Fredericton Oromocto,2024-09-01,27%,48%,11%,12%
Fredericton Oromocto,2024-11-01,28%,48%,11%,12%
Fredericton Oromocto,2025-01-01,27%,47%,12%,12%
Fredericton Oromocto,2025-03-01,28%,47%,12%,12%
Fredericton Oromocto,2025-05-01,29%,46%,12%,12%
Fredericton Oromocto,2025-07-01,29%,45%,13%,11%
Fredericton Oromocto,2025-09-01,28%,44%,13%,11%
Fredericton Oromocto,2025-11-01,30%,42%,13%,11%
Fredericton Oromocto,2024-05-12,31%,41%,13%,11%
Fredericton Oromocto,2024-05-12,32%,40%,13%,12%
Fredericton Oromocto,2024-05-19,32%,40%,13%,11%
Fredericton Oromocto,2024-05-19,31%,42%,13%,12%
Fredericton Oromocto,2024-05-26,30%,42%,13%,12%
Fredericton Oromocto,2024-05-26,29%,43%,13%,12%
Fredericton Oromocto,2024-06-02,29%,44%,12%,12%
Fredericton Oromocto,2024-06-02,28%,45%,12%,12%
Fredericton Oromocto,2024-06-09,28%,45%,11%,13%
Fredericton Oromocto,2024-06-09,27%,46%,11%,13%
Fredericton Oromocto,2024-06-16,27%,46%,11%,13%
Fredericton Oromocto,2024-06-16,26%,46%,11%,13%
Fredericton Oromocto,2024-06-23,27%,46%,11%,13%
Fredericton Oromocto,2024-06-23,27%,46%,12%,13%
Fredericton Oromocto,2024-06-30,27%,45%,12%,13%
Fredericton Oromocto,2024-06-30,26%,45%,12%,14%
Fredericton Oromocto,2024-07-07,27%,44%,12%,14%
Fredericton Oromocto,2024-07-07,28%,44%,13%,13%
Madawaska Restigouche,2024-05-01,41%,40%,8%,3%
Madawaska Restigouche,2024-07-01,41%,43%,6%,3%
Madawaska Restigouche,2024-09-01,40%,44%,6%,3%
Madawaska Restigouche,2024-11-01,41%,43%,6%,3%
Madawaska Restigouche,2025-01-01,41%,43%,6%,3%
Madawaska Restigouche,2025-03-01,41%,42%,6%,3%
Madawaska Restigouche,2025-05-01,42%,41%,6%,3%
Madawaska Restigouche,2025-07-01,42%,40%,7%,3%
Madawaska Restigouche,2025-09-01,42%,40%,7%,3%
Madawaska Restigouche,2025-11-01,44%,38%,7%,3%
Madawaska Restigouche,2024-05-12,45%,36%,7%,3%
Madawaska Restigouche,2024-05-12,46%,35%,7%,3%
Madawaska Restigouche,2024-05-19,46%,35%,7%,3%
Madawaska Restigouche,2024-05-19,44%,37%,7%,3%
Madawaska Restigouche,2024-05-26,44%,38%,7%,3%
Madawaska Restigouche,2024-05-26,43%,38%,7%,3%
Madawaska Restigouche,2024-06-02,42%,39%,7%,3%
Madawaska Restigouche,2024-06-02,41%,41%,6%,3%
Madawaska Restigouche,2024-06-09,41%,41%,6%,3%
Madawaska Restigouche,2024-06-09,40%,42%,6%,3%
Madawaska Restigouche,2024-06-16,40%,42%,6%,3%
Madawaska Restigouche,2024-06-16,39%,42%,6%,3%
Madawaska Restigouche,2024-06-23,40%,42%,7%,3%
Madawaska Restigouche,2024-06-23,39%,42%,7%,3%
Madawaska Restigouche,2024-06-30,39%,41%,7%,3%
Madawaska Restigouche,2024-06-30,39%,41%,7%,4%
Madawaska Restigouche,2024-07-07,40%,41%,7%,4%
Madawaska Restigouche,2024-07-07,41%,40%,8%,3%
Miramichi Grand Lake,2024-05-01,27%,57%,8%,5%
Miramichi Grand Lake,2024-07-01,25%,62%,6%,5%
Miramichi Grand Lake,2024-09-01,25%,63%,6%,4%
Miramichi Grand Lake,2024-11-01,25%,62%,6%,4%
Miramichi Grand Lake,2025-01-01,25%,62%,6%,4%
Miramichi Grand Lake,2025-03-01,26%,61%,6%,4%
