District,Date,PCPO,OLP,NDP,GPO
Markham Unionville,2022-05-01,55%,31%,7%,5%
Markham Unionville,2022-09-01,57%,29%,8%,2%
Markham Unionville,2023-01-01,54%,28%,11%,2%
Markham Unionville,2023-05-01,55%,28%,11%,2%
Markham Unionville,2023-09-01,55%,28%,11%,2%
Markham Unionville,2024-01-01,55%,28%,11%,2%
Markham Unionville,2024-05-01,55%,28%,11%,2%
Markham Unionville,2024-09-01,54%,28%,11%,2%
Markham Unionville,2025-01-01,54%,29%,11%,2%
Markham Unionville,2025-05-01,54%,29%,11%,2%
Markham Unionville,2022-04-30,55%,28%,11%,2%
Markham Unionville,2022-04-30,55%,28%,11%,2%
Markham Unionville,2022-05-03,55%,28%,10%,2%
Markham Unionville,2022-05-03,56%,28%,11%,2%
Markham Unionville,2022-05-04,56%,28%,11%,2%
Markham Unionville,2022-05-04,55%,28%,11%,2%
Markham Unionville,2022-05-05,53%,33%,10%,2%
Markham Unionville,2022-05-05,53%,32%,10%,2%
Markham Unionville,2022-05-06,53%,32%,10%,2%
Markham Unionville,2022-05-06,52%,31%,12%,3%
Markham Unionville,2022-05-07,52%,31%,12%,3%
Markham Unionville,2022-05-07,51%,31%,12%,3%
Markham Unionville,2022-05-08,52%,31%,11%,3%
Markham Unionville,2022-05-08,52%,31%,11%,3%
Markham Unionville,2022-05-09,52%,31%,11%,3%
Markham Unionville,2022-05-09,52%,31%,11%,3%
Markham Unionville,2022-05-10,52%,30%,12%,3%
Markham Unionville,2022-05-10,54%,29%,11%,2%
Markham Unionville,2022-05-11,54%,29%,11%,2%
Markham Unionville,2022-05-11,54%,29%,11%,2%
Markham Unionville,2022-05-12,55%,29%,10%,2%
Markham Unionville,2022-05-12,59%,26%,10%,2%
Markham Unionville,2022-05-13,56%,30%,7%,4%
Markham Unionville,2022-05-13,56%,30%,7%,4%
Markham Unionville,2022-05-14,55%,31%,7%,4%
Markham Unionville,2022-05-14,54%,32%,7%,4%
Markham Unionville,2022-05-15,55%,32%,7%,4%
Markham Unionville,2022-05-15,55%,31%,7%,4%
