District,Date,LPC,CPC,NDP,GPC
Ottawa Vanier Gloucester,2024-05-01,37%,29%,24%,6%
Ottawa Vanier Gloucester,2024-07-01,38%,28%,25%,6%
Ottawa Vanier Gloucester,2024-09-01,38%,28%,25%,6%
Ottawa Vanier Gloucester,2024-11-01,40%,28%,24%,6%
Ottawa Vanier Gloucester,2025-01-01,39%,28%,25%,6%
Ottawa Vanier Gloucester,2025-03-01,39%,28%,24%,6%
Ottawa Vanier Gloucester,2025-05-01,40%,27%,25%,6%
Ottawa Vanier Gloucester,2025-07-01,39%,27%,26%,6%
Ottawa Vanier Gloucester,2025-09-01,38%,28%,25%,5%
Ottawa Vanier Gloucester,2025-11-01,39%,28%,24%,5%
Ottawa Vanier Gloucester,2024-05-12,39%,28%,24%,5%
Ottawa Vanier Gloucester,2024-05-12,38%,28%,24%,5%
Ottawa Vanier Gloucester,2024-05-19,38%,28%,24%,5%
Ottawa Vanier Gloucester,2024-05-19,38%,27%,25%,6%
Ottawa Vanier Gloucester,2024-05-26,38%,28%,25%,6%
Ottawa Vanier Gloucester,2024-05-26,39%,27%,25%,6%
Ottawa Vanier Gloucester,2024-06-02,40%,26%,24%,6%
Ottawa Vanier Gloucester,2024-06-02,40%,27%,23%,6%
Ottawa Vanier Gloucester,2024-06-09,39%,28%,23%,6%
Ottawa Vanier Gloucester,2024-06-09,39%,29%,22%,6%
Ottawa Vanier Gloucester,2024-06-16,38%,30%,22%,6%
Ottawa Vanier Gloucester,2024-06-16,38%,30%,23%,6%
Ottawa Vanier Gloucester,2024-06-23,37%,30%,23%,6%
Ottawa Vanier Gloucester,2024-06-23,37%,30%,23%,6%
Ottawa Vanier Gloucester,2024-06-30,37%,29%,23%,6%
Ottawa Vanier Gloucester,2024-06-30,37%,29%,24%,6%
Ottawa Vanier Gloucester,2024-07-07,37%,29%,24%,6%
